date,zone,ndvi_mean,ndvi_median,ndvi_std,ndvi_p25,ndvi_p75,ndvi_min,ndvi_max,height_mean_cm,height_median_cm,height_p25_cm,height_p75_cm,scene_key,valid_pixels,total_pixels,valid_fraction
3/28/2023,N,0.193623349,0.193888038,0.018529933,0.182083368,0.205265716,0.009330636,0.289579153,9.363767624,9.388802528,8.20833683,10.52657127,2023-03-28_6390560,59210,59210,1
4/6/2023,N,0.209244981,0.209753662,0.021956386,0.195705503,0.223210216,0.064440176,0.32192412,10.92483997,10.97536659,9.570549965,12.32102108,2023-04-06_6413797,59210,59210,1
4/7/2023,N,0.227351919,0.227561176,0.021788551,0.213914841,0.241094455,0.108455457,0.346718132,12.73519135,12.75611687,11.39148331,14.10944557,2023-04-07_6416505,59210,59210,1
4/9/2023,N,0.247723311,0.247967988,0.024503486,0.232934847,0.263208091,0.098971739,0.371590346,14.77233219,14.79679966,13.29348373,16.32081032,2023-04-09_6422276,59210,59210,1
4/11/2023,N,0.298083305,0.298727512,0.03218203,0.279244751,0.317882389,0.103522301,0.435237348,19.80833054,19.87274933,17.92447662,21.78823853,2023-04-11_6427266,59210,59210,1
4/14/2023,N,0.363735914,0.366791517,0.044954896,0.340599775,0.390810251,0.12132822,0.53544271,26.37358856,26.67915344,24.05997467,29.08102417,2023-04-14_6434452,59210,59210,1
4/15/2023,N,0.326765776,0.328540266,0.039800003,0.306326866,0.350208193,0.091537841,0.480685562,22.67659569,22.85402679,20.63268661,25.02082062,2023-04-15_6437077,59210,59210,1
4/16/2023,N,0.38571617,0.388599753,0.0464103,0.363089859,0.41244939,0.139293149,0.551020384,28.57161713,28.85997581,26.30898666,31.2449379,2023-04-16_6439296,59210,59210,1
4/19/2023,N,0.467435986,0.475096226,0.066180877,0.439763844,0.50672859,0.126875281,0.672183216,36.74359894,37.50962067,33.97638702,40.67285919,2023-04-19_6447517,59210,59210,1
4/23/2023,N,0.522512913,0.529762626,0.075504929,0.491465271,0.567957401,0.132895842,0.736095428,42.25129318,42.97625732,39.14653015,46.79574203,2023-04-23_6455880,59210,59210,1
4/29/2023,N,0.612271249,0.624359727,0.083015643,0.579707742,0.662616313,0.164194375,0.808251977,51.22712708,52.43597412,47.9707756,56.26163483,2023-04-29_6470104,59210,59210,1
4/30/2023,N,0.649136007,0.663907051,0.086107641,0.621166527,0.70024544,0.144146279,0.840890348,54.91359711,56.39070511,52.11665344,60.02454376,2023-04-30_6473194,59210,59210,1
5/8/2023,N,0.698766351,0.714285731,0.092110619,0.681878388,0.74564594,0.168989226,0.851729751,59.87663269,61.42857361,58.18783951,64.56459045,2023-05-08_6492697,59210,59210,1
5/9/2023,N,0.679004133,0.69674778,0.094701923,0.657934368,0.730509877,0.159881726,0.827205896,57.90041733,59.67477417,55.79343414,63.05098724,2023-05-09_6495607,59210,59210,1
5/11/2023,N,0.713699043,0.732838511,0.093442328,0.69543916,0.762653708,0.162323013,0.852095604,61.36991119,63.28385162,59.54391479,66.2653656,2023-05-11_6500673,59210,59210,1
5/19/2023,N,0.781435728,0.805876017,0.107607514,0.778757811,0.827908576,0.129571781,0.880201638,68.14356232,70.58760071,67.8757782,72.79085541,2023-05-19_6519829,59210,59210,1
5/20/2023,N,0.753644586,0.775373578,0.09572307,0.743002295,0.798608422,0.172383443,0.859477997,65.36447144,67.53735352,64.30023193,69.86083984,2023-05-20_6522350,59210,59210,1
5/22/2023,N,0.7817204,0.806107402,0.107388534,0.778242111,0.827543437,0.117886156,0.87629813,68.17203522,70.61074066,67.82421875,72.75434113,2023-05-22_6526274,59210,59210,1
5/24/2023,N,0.753384233,0.776490211,0.097585373,0.745334387,0.796937823,0.119266033,0.837934792,65.33842468,67.64901733,64.53343964,69.69378662,2023-05-24_6530812,59210,59210,1
5/26/2023,N,0.81012392,0.837575436,0.112347871,0.810231805,0.855258942,0.101170011,0.904103816,71.01239777,73.75754547,71.0231781,75.52589417,2023-05-26_6535565,59210,59210,1
5/28/2023,N,0.801792562,0.829253793,0.103127182,0.791549802,0.849957228,0.143415689,0.891714036,70.17925262,72.92538452,69.15498352,74.99571991,2023-05-28_6539990,59210,59210,1
5/29/2023,N,0.846025288,0.877056241,0.116447255,0.844482124,0.894436836,0.134165347,0.925629258,74.60251617,77.70562744,74.44821167,79.44368744,2023-05-29_6542639,59210,59210,1
6/3/2023,N,0.870848417,0.90120405,0.10922014,0.863457263,0.919252396,0.150130361,0.956865191,77.08483124,80.1204071,76.34572601,81.92523956,2023-06-03_6553618,59210,59210,1
6/9/2023,N,0.815847933,0.841769576,0.092381597,0.800305605,0.864261866,0.171835437,0.895770073,71.58479309,74.17695618,70.03056335,76.42619324,2023-06-09_6566887,59210,59210,1
6/12/2023,N,0.800990164,0.821704745,0.076164208,0.787400126,0.840547323,0.203595802,0.87117976,70.09901428,72.17047119,68.74000549,74.05472565,2023-06-12_6574216,59210,59210,1
6/13/2023,N,0.85440135,0.876757979,0.079964742,0.847906768,0.891689777,0.225560158,0.921026051,75.44015503,77.67579651,74.79067993,79.16897583,2023-06-13_6578839,59210,59210,1
6/17/2023,N,0.856989801,0.874474108,0.062855482,0.848925471,0.888925791,0.257342666,0.920363069,75.69897461,77.44741058,74.89254761,78.89257813,2023-06-17_6585276,59210,59210,1
6/18/2023,N,0.844950199,0.860776007,0.059488658,0.836203575,0.874736071,0.237546593,0.901925564,74.49501801,76.07759857,73.62036133,77.47360992,2023-06-18_6587773,59210,59210,1
6/19/2023,N,0.847828984,0.863391459,0.058523469,0.840142787,0.876931131,0.25295192,0.90741843,74.78289795,76.33914948,74.01428223,77.6931076,2023-06-19_6590000,59210,59210,1
6/22/2023,N,0.82104969,0.84873414,0.083016008,0.815138102,0.872263491,0.284098059,0.910564542,72.10497284,74.87341309,71.5138092,77.22634888,2023-06-22_6597703,59210,59210,1
6/24/2023,N,0.505571783,0.50000006,0.039017648,0.483516455,0.520728827,0.275947303,0.763573885,40.55718231,40.00000763,38.35164642,42.07287979,2023-06-24_6601411,59210,59210,1
6/27/2023,N,0.40128544,0.392976969,0.04814329,0.372668296,0.417345494,0.241260558,0.71714741,30.12854385,29.29769516,27.26683044,31.73454857,2023-06-27_6610018,59210,59210,1
6/30/2023,N,0.420850098,0.413142502,0.062768087,0.382515073,0.448544502,0.26574114,0.740143418,32.08501434,31.31425095,28.25150681,34.85445023,2023-06-30_6615016,59210,59210,1
7/2/2023,N,0.539055109,0.530845106,0.077097483,0.484762847,0.587010026,0.24830921,0.832437158,43.90550995,43.0845108,38.47628403,48.70100403,2023-07-02_6619802,59210,59210,1
