PRISM Time Series Data
Location:  Lat: 39.4452   Lon: -110.7287   Elev: 5515ft
"Climate variables: ppt,tmin,tmean,tmax"
Spatial resolution: 4km
Period: 2023-01-01 - 2025-11-30
Dataset: AN91d
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: On
Time series generated: 2026-Jun-01
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (inches),tmin (degrees F),tmean (degrees F),tmax (degrees F)
2023-01-01,0.30,27.4,31.3,35.2
2023-01-02,0.65,32.4,34.4,36.4
2023-01-03,0.05,25.3,29.3,33.4
2023-01-04,0.00,13.8,23.6,33.5
2023-01-05,0.00,12.2,22.9,33.6
2023-01-06,0.30,25.5,27.7,29.9
2023-01-07,0.00,7.6,20.6,33.7
2023-01-08,0.00,7.0,18.7,30.4
2023-01-09,0.00,25.0,29.7,34.5
2023-01-10,0.49,27.4,30.9,34.4
2023-01-11,0.43,29.0,33.6,38.3
2023-01-12,0.00,11.6,25.7,39.8
2023-01-13,0.00,11.2,23.3,35.3
2023-01-14,0.00,12.0,23.3,34.7
2023-01-15,0.18,16.0,24.1,32.1
2023-01-16,0.44,15.2,25.2,35.2
2023-01-17,0.28,18.3,25.1,31.9
2023-01-18,0.02,20.0,26.6,33.2
2023-01-19,0.00,-2.2,14.9,32.1
2023-01-20,0.02,-3.0,10.5,24.0
2023-01-21,0.00,12.7,22.7,32.7
2023-01-22,0.00,0.1,14.3,28.5
2023-01-23,0.02,0.1,12.7,25.4
2023-01-24,0.00,13.6,23.5,33.3
2023-01-25,0.00,15.1,22.8,30.5
2023-01-26,0.00,2.2,16.2,30.3
2023-01-27,0.00,0.9,14.2,27.5
2023-01-28,0.00,9.2,18.7,28.3
2023-01-29,0.00,9.1,20.3,31.5
2023-01-30,0.07,6.4,18.8,31.1
2023-01-31,0.00,3.6,16.6,29.7
2023-02-01,0.00,-5.6,7.8,21.1
2023-02-02,0.00,-3.9,10.6,25.1
2023-02-03,0.00,1.1,15.8,30.4
2023-02-04,0.00,2.1,16.4,30.6
2023-02-05,0.00,4.8,19.0,33.2
2023-02-06,0.00,8.0,21.5,35.0
2023-02-07,0.00,14.5,25.3,36.0
2023-02-08,0.00,9.3,21.3,33.3
2023-02-09,0.00,11.7,23.6,35.6
2023-02-10,0.00,2.2,17.1,32.0
2023-02-11,0.00,0.7,17.1,33.5
2023-02-12,0.00,5.2,18.8,32.4
2023-02-13,0.00,5.9,21.5,37.1
2023-02-14,0.00,9.7,23.3,37.0
2023-02-15,0.00,17.8,23.4,28.9
2023-02-16,0.00,-0.8,11.7,24.1
2023-02-17,0.00,-3.3,10.9,25.1
